unique_work_number,mp_name,state,constituency,work_name,work_category,recommended_amount,date_recommended,implementing_agency
W-1911,MP_24,Bihar,Constituency_6,Construction of Roads at location 193,Roads,6454938.9,2023-04-19,Municipal Corporation
W-1912,MP_33,Kerala,Constituency_8,Construction of Sanitation at location 452,Sanitation,651313.14,2023-09-08,Gram Panchayat
W-1913,MP_27,Bihar,Constituency_5,Construction of Education at location 389,Education,19215612.14,2023-02-03,Municipal Corporation
W-1914,MP_9,Bihar,Constituency_7,Construction of Sanitation at location 244,Sanitation,13138258.96,2023-08-20,Gram Panchayat
W-1915,MP_28,Uttar Pradesh,Constituency_9,Construction of Drinking Water at location 95,Drinking Water,13825057.48,2023-01-17,Zila Parishad
W-1916,MP_17,Uttar Pradesh,Constituency_13,Construction of Health at location 614,Health,16663493.68,2023-01-13,Zila Parishad
W-1917,MP_21,Uttar Pradesh,Constituency_18,Construction of Education at location 138,Education,11167048.86,2023-08-21,PWD
W-1918,MP_15,Maharashtra,Constituency_11,Construction of Health at location 303,Health,16890449.66,2023-08-02,Trust
W-1919,MP_29,Bihar,Constituency_19,Construction of Health at location 110,Health,7825150.34,2023-11-19,Municipal Corporation
W-1920,MP_15,Bihar,Constituency_11,Construction of Roads at location 721,Roads,2357422.87,2023-06-21,Zila Parishad
W-1921,MP_7,Bihar,Constituency_4,Construction of Drinking Water at location 186,Drinking Water,9287156.79,2023-01-12,Zila Parishad
W-1922,MP_48,Kerala,Constituency_14,Construction of Roads at location 527,Roads,17288144.41,2023-02-06,PWD
W-1923,MP_44,Uttar Pradesh,Constituency_1,Construction of Sanitation at location 686,Sanitation,10650278.7,2023-02-27,PWD
W-1924,MP_35,Bihar,Constituency_14,Construction of Health at location 954,Health,954098.05,2023-01-30,PWD
W-1925,MP_29,Uttar Pradesh,Constituency_8,Construction of Sanitation at location 365,Sanitation,7055113.47,2023-05-30,PWD
W-1926,MP_36,Maharashtra,Constituency_13,Construction of Education at location 73,Education,18786183.8,2023-07-16,PWD
W-1927,MP_30,Maharashtra,Constituency_7,Construction of Drinking Water at location 992,Drinking Water,11259696.03,2023-03-28,Municipal Corporation
W-1928,MP_42,Uttar Pradesh,Constituency_8,Construction of Education at location 710,Education,938600.43,2023-01-01,PWD
W-1929,MP_47,West Bengal,Constituency_10,Construction of Drinking Water at location 420,Drinking Water,6080631.81,2023-09-09,Gram Panchayat
W-1930,MP_15,Maharashtra,Constituency_9,Construction of Health at location 236,Health,19972922.83,2023-06-08,Zila Parishad
W-1931,MP_41,Kerala,Constituency_13,Construction of Education at location 257,Education,18157044.81,2023-07-04,Municipal Corporation
W-1932,MP_34,Bihar,Constituency_2,Construction of Drinking Water at location 351,Drinking Water,15097394.77,2023-01-09,Zila Parishad
W-1933,MP_23,Kerala,Constituency_9,Construction of Sanitation at location 543,Sanitation,18579909.34,2023-01-19,Municipal Corporation
W-1934,MP_23,Kerala,Constituency_18,Construction of Roads at location 98,Roads,17197219.24,2023-10-17,Municipal Corporation
W-1935,MP_12,Kerala,Constituency_4,Construction of Drinking Water at location 506,Drinking Water,15335492.93,2023-07-08,Municipal Corporation
W-1936,MP_11,West Bengal,Constituency_6,Construction of Drinking Water at location 487,Drinking Water,14128278.66,2023-06-30,Gram Panchayat
W-1937,MP_1,Uttar Pradesh,Constituency_17,Construction of Education at location 948,Education,1246995.6,2023-09-14,Gram Panchayat
W-1938,MP_33,Kerala,Constituency_1,Construction of Roads at location 705,Roads,16299014.07,2023-12-02,PWD
W-1939,MP_39,West Bengal,Constituency_8,Construction of Roads at location 592,Roads,14280332.07,2023-05-25,Trust
W-1940,MP_26,Bihar,Constituency_16,Construction of Health at location 23,Health,6452445.77,2023-11-14,Zila Parishad
W-1941,MP_49,Uttar Pradesh,Constituency_13,Construction of Roads at location 356,Roads,14788992.28,2023-01-14,Zila Parishad
W-1942,MP_29,Kerala,Constituency_6,Construction of Education at location 859,Education,14451410.63,2023-10-12,Zila Parishad
W-1943,MP_36,Bihar,Constituency_16,Construction of Sanitation at location 112,Sanitation,13306092.78,2023-11-04,PWD
W-1944,MP_18,Bihar,Constituency_10,Construction of Drinking Water at location 679,Drinking Water,2451261.1,2023-12-16,Zila Parishad
W-1945,MP_15,Maharashtra,Constituency_15,Construction of Roads at location 688,Roads,1729156.22,2023-03-04,Municipal Corporation
W-1946,MP_24,Uttar Pradesh,Constituency_13,Construction of Health at location 971,Health,5823733.91,2023-03-11,Zila Parishad
W-1947,MP_3,Kerala,Constituency_16,Construction of Roads at location 869,Roads,12676286.08,2023-02-27,Zila Parishad
W-1948,MP_46,Uttar Pradesh,Constituency_7,Construction of Education at location 521,Education,5254862.44,2023-06-10,Zila Parishad
W-1949,MP_3,Maharashtra,Constituency_13,Construction of Health at location 516,Health,2871554.06,2023-09-20,Gram Panchayat
W-1950,MP_12,West Bengal,Constituency_19,Construction of Health at location 726,Health,8587905.0,2023-06-07,Municipal Corporation
W-1951,MP_38,Uttar Pradesh,Constituency_2,Construction of Sanitation at location 25,Sanitation,6272478.75,2023-08-10,Municipal Corporation
W-1952,MP_26,Kerala,Constituency_4,Construction of Drinking Water at location 365,Drinking Water,17862776.39,2023-06-08,Zila Parishad
W-1953,MP_48,West Bengal,Constituency_18,Construction of Sanitation at location 427,Sanitation,2792288.6,2023-05-24,Gram Panchayat
W-1954,MP_27,Bihar,Constituency_5,Construction of Roads at location 68,Roads,11188341.27,2023-07-06,Municipal Corporation
W-1955,MP_2,West Bengal,Constituency_12,Construction of Roads at location 837,Roads,9623463.32,2023-03-25,Zila Parishad
W-1956,MP_4,Kerala,Constituency_7,Construction of Sanitation at location 907,Sanitation,16835905.81,2023-05-05,PWD
W-1957,MP_5,Uttar Pradesh,Constituency_3,Construction of Roads at location 399,Roads,10809374.15,2023-12-12,Municipal Corporation
W-1958,MP_9,Maharashtra,Constituency_11,Construction of Education at location 173,Education,1880886.68,2023-05-10,Municipal Corporation
W-1959,MP_22,Uttar Pradesh,Constituency_11,Construction of Education at location 626,Education,19175230.09,2023-06-08,Municipal Corporation
W-1960,MP_7,West Bengal,Constituency_2,Construction of Drinking Water at location 544,Drinking Water,16965909.44,2023-02-08,Gram Panchayat
W-1961,MP_10,Bihar,Constituency_7,Construction of Health at location 457,Health,10442544.1,2023-10-29,PWD
W-1962,MP_43,West Bengal,Constituency_18,Construction of Health at location 515,Health,11449729.68,2023-07-29,Municipal Corporation
W-1963,MP_24,West Bengal,Constituency_12,Construction of Drinking Water at location 360,Drinking Water,13586693.72,2023-11-25,Municipal Corporation
W-1964,MP_33,Bihar,Constituency_19,Construction of Sanitation at location 117,Sanitation,11210399.79,2023-02-22,PWD
W-1965,MP_10,Kerala,Constituency_11,Construction of Roads at location 36,Roads,7328693.41,2023-08-11,Municipal Corporation
W-1966,MP_21,Uttar Pradesh,Constituency_19,Construction of Drinking Water at location 257,Drinking Water,15578886.34,2023-07-31,Zila Parishad
W-1967,MP_6,West Bengal,Constituency_11,Construction of Sanitation at location 190,Sanitation,19491841.38,2023-08-13,Zila Parishad
W-1968,MP_2,Uttar Pradesh,Constituency_10,Construction of Roads at location 635,Roads,7279598.96,2023-02-07,PWD
W-1969,MP_3,Kerala,Constituency_1,Construction of Sanitation at location 345,Sanitation,19171780.94,2023-09-07,Municipal Corporation
W-1970,MP_47,Maharashtra,Constituency_7,Construction of Drinking Water at location 342,Drinking Water,11882778.88,2023-08-30,Zila Parishad
W-1971,MP_38,Uttar Pradesh,Constituency_6,Construction of Drinking Water at location 38,Drinking Water,17648637.55,2023-12-25,Municipal Corporation
W-1972,MP_8,West Bengal,Constituency_1,Construction of Health at location 85,Health,11224774.11,2023-08-02,Gram Panchayat
W-1973,MP_7,Maharashtra,Constituency_5,Construction of Roads at location 506,Roads,18854551.75,2023-05-14,Zila Parishad
W-1974,MP_17,Maharashtra,Constituency_8,Construction of Sanitation at location 649,Sanitation,7360624.49,2023-03-04,Municipal Corporation
W-1975,MP_26,Bihar,Constituency_15,Construction of Roads at location 990,Roads,1967808.7,2023-02-07,Zila Parishad
W-1976,MP_17,Uttar Pradesh,Constituency_8,Construction of Roads at location 958,Roads,12491216.47,2023-02-10,PWD
W-1977,MP_8,Kerala,Constituency_2,Construction of Health at location 74,Health,1532971.67,2023-09-20,Municipal Corporation
W-1978,MP_1,Maharashtra,Constituency_1,Construction of Sanitation at location 670,Sanitation,14026834.39,2023-08-12,Gram Panchayat
W-1979,MP_1,Kerala,Constituency_12,Construction of Roads at location 10,Roads,12407533.64,2023-10-30,Zila Parishad
W-1980,MP_11,Maharashtra,Constituency_9,Construction of Education at location 898,Education,14708525.31,2023-05-23,PWD
W-1981,MP_42,West Bengal,Constituency_10,Construction of Education at location 888,Education,14188093.91,2023-08-06,Zila Parishad
W-1982,MP_34,West Bengal,Constituency_12,Construction of Education at location 84,Education,19194467.75,2023-07-11,PWD
W-1983,MP_23,Kerala,Constituency_3,Construction of Sanitation at location 74,Sanitation,18185998.71,2023-01-05,Municipal Corporation
W-1984,MP_29,Uttar Pradesh,Constituency_18,Construction of Roads at location 52,Roads,17706732.43,2023-06-24,Municipal Corporation
W-1985,MP_23,West Bengal,Constituency_5,Construction of Education at location 961,Education,17361922.28,2023-06-10,Trust
W-1986,MP_11,Uttar Pradesh,Constituency_18,Construction of Roads at location 147,Roads,11167693.69,2023-07-01,PWD
W-1987,MP_8,Bihar,Constituency_9,Construction of Health at location 15,Health,16696374.84,2023-08-14,Zila Parishad
W-1988,MP_6,Maharashtra,Constituency_3,Construction of Roads at location 789,Roads,787115.89,2023-12-02,Gram Panchayat
W-1989,MP_49,Maharashtra,Constituency_11,Construction of Roads at location 74,Roads,7945973.58,2023-07-18,Gram Panchayat
W-1990,MP_36,Maharashtra,Constituency_18,Construction of Health at location 915,Health,11742997.29,2023-08-31,Zila Parishad
W-1991,MP_48,Uttar Pradesh,Constituency_17,Construction of Education at location 34,Education,14442538.39,2023-08-28,Zila Parishad
W-1992,MP_23,Bihar,Constituency_1,Construction of Drinking Water at location 638,Drinking Water,13210102.02,2023-09-24,Zila Parishad
W-1993,MP_6,Uttar Pradesh,Constituency_8,Construction of Sanitation at location 66,Sanitation,3496648.97,2023-10-06,Gram Panchayat
W-1994,MP_36,Bihar,Constituency_2,Construction of Health at location 189,Health,6360271.77,2023-06-27,Gram Panchayat
W-1995,MP_6,West Bengal,Constituency_7,Construction of Drinking Water at location 886,Drinking Water,3165553.95,2023-01-01,PWD
W-1996,MP_15,Uttar Pradesh,Constituency_9,Construction of Drinking Water at location 231,Drinking Water,7979834.42,2023-01-22,Zila Parishad
W-1997,MP_2,Bihar,Constituency_5,Construction of Education at location 824,Education,14144273.94,2023-07-31,PWD
W-1998,MP_47,Maharashtra,Constituency_14,Construction of Health at location 427,Health,4142754.01,2023-07-23,Gram Panchayat
W-1999,MP_30,West Bengal,Constituency_19,Construction of Sanitation at location 249,Sanitation,7528030.22,2023-06-30,Gram Panchayat
W-9999,MP_19,Uttar Pradesh,Constituency_7,Construction of Education at location 459,Education,7007317.92,2023-03-29,PWD
